datetime,close,macd_1d,macd_signal_1d,rsi_1d,stoch_1d,stoch_signal_1d,atr_1d,macd_2d,macd_signal_2d,rsi_2d,stoch_2d,stoch_signal_2d,atr_2d,macd_3d,macd_signal_3d,rsi_3d,stoch_3d,stoch_signal_3d,atr_3d,macd_1d_final,macd_2d_final,macd_3d_final,stoch_1d_final,stoch_2d_final,stoch_3d_final,target
2013-10-06,3223.75,21.67,24.66,56.51,63.23,60.14,31.9,43.02,41.86,58.23,84.05,86.77,31.05,59.1,55.2,58.5,86.52,88.53,30.84,0.1,0.7,0.7,0.7,0.1,0.1,1
2013-10-07,3205.75,19.06,23.54,52.23,38.49,60.82,31.89,41.64,41.83,55.9,71.04,84.22,31.07,58.32,55.43,56.89,77.46,86.66,30.86,0.1,0.1,0.7,0.4,0.1,0.1,1
2013-10-08,3157.5,12.94,21.42,42.88,12.88,38.2,34.63,38.25,41.46,50.3,39.81,74.65,32.47,56.13,55.48,52.91,53.15,82.42,31.8,0.1,0.1,0.7,0.4,0.4,0.1,1
2013-10-09,3136.75,6.35,18.41,39.59,19.04,23.47,35.98,34.26,40.7,48.15,19.04,63.25,33.22,53.45,55.33,51.32,42.7,78.08,32.32,0.1,0.1,0.1,0.4,0.4,0.4,1
2013-10-10,3190.0,5.36,15.8,50.15,56.94,29.62,38.61,32.87,39.88,53.45,56.94,60.48,34.63,52.43,55.12,54.87,69.52,76.14,33.28,0.1,0.1,0.1,0.7,0.1,0.1,1
2013-10-11,3226.75,7.45,14.13,55.88,83.1,53.02,38.76,33.1,39.16,56.62,83.1,58.99,34.85,52.47,54.93,57.09,88.04,75.1,33.46,0.1,0.1,0.1,0.7,0.7,0.7,1
2013-10-13,3209.25,7.61,12.82,52.77,70.64,70.23,38.17,32.46,38.46,54.78,70.64,56.76,34.7,51.93,54.72,55.75,79.22,74.03,33.39,0.1,0.1,0.1,0.7,0.7,0.7,1
2013-10-14,3258.0,11.54,12.57,59.53,100.0,84.58,39.41,33.86,37.97,58.66,100.0,61.59,35.44,52.77,54.58,58.52,100.0,76.62,33.91,0.1,0.1,0.1,0.7,0.7,0.7,1
2013-10-15,3255.5,14.28,12.91,59.06,95.25,88.63,38.68,34.89,37.65,58.4,95.25,70.83,35.22,53.4,54.5,58.33,96.5,77.01,33.8,0.7,0.1,0.1,0.7,0.7,0.7,1
2013-10-16,3266.5,17.15,13.76,60.53,94.42,96.56,38.36,36.16,37.49,59.24,94.42,83.39,35.19,54.22,54.48,58.93,95.69,78.03,33.81,0.7,0.1,0.1,0.1,0.7,0.7,1
2013-10-17,3315.5,23.11,15.63,66.31,98.92,96.2,40.12,39.24,37.68,62.74,98.92,90.39,36.18,56.31,54.61,61.49,99.12,80.44,34.51,0.7,0.7,0.7,0.7,0.7,0.7,1
2013-10-18,3343.0,29.71,18.44,69.06,98.21,97.18,39.88,43.02,38.24,64.52,98.21,92.91,36.2,58.95,54.92,62.82,98.44,85.47,34.56,0.7,0.7,0.7,0.7,0.7,0.7,1
2013-10-20,3347.5,34.9,21.74,69.49,100.0,99.04,37.39,46.42,39.1,64.8,100.0,97.8,35.08,61.44,55.38,63.03,100.0,91.84,33.86,0.7,0.7,0.7,0.7,0.7,0.7,1
2013-10-21,3354.5,39.13,25.21,70.2,97.22,98.48,36.06,49.59,40.2,65.25,97.22,97.34,34.5,63.84,55.99,63.37,97.55,94.95,33.5,0.7,0.7,0.7,0.1,0.1,0.7,1
2013-10-22,3353.5,41.91,28.55,69.95,91.37,96.2,36.27,52.21,41.47,65.13,91.37,96.69,34.66,65.95,56.7,63.29,92.17,95.41,33.63,0.7,0.7,0.7,0.1,0.1,0.1,1
2013-10-23,3341.75,42.68,31.38,66.95,86.96,91.85,36.02,53.86,42.77,63.66,86.96,95.45,34.59,67.46,57.47,62.29,87.61,96.34,33.61,0.7,0.7,0.7,0.1,0.1,0.1,1
2013-10-24,3375.75,45.51,34.21,70.85,98.79,92.37,36.59,56.61,44.23,65.96,98.79,95.42,34.93,69.74,58.34,63.97,98.85,96.21,33.86,0.7,0.7,0.7,0.7,0.7,0.7,0
2013-10-25,3374.75,47.13,36.79,70.58,93.17,92.97,36.23,58.82,45.77,65.83,93.8,94.69,34.81,71.71,59.3,63.88,93.8,95.91,33.8,0.7,0.7,0.7,0.7,0.1,0.1,0
2013-10-27,3382.0,48.43,39.12,71.42,94.96,95.64,34.46,60.91,47.36,66.32,96.37,94.08,33.97,73.64,60.32,64.24,96.37,95.99,33.27,0.7,0.7,0.7,0.1,0.7,0.7,0
2013-10-28,3372.0,48.11,40.92,68.54,89.67,92.6,33.87,62.16,48.92,65.0,92.83,93.35,33.7,75.04,61.37,63.36,92.83,95.29,33.1,0.7,0.7,0.7,0.1,0.1,0.1,1
2013-10-29,3386.25,48.44,42.42,70.37,96.84,93.82,33.15,63.67,50.47,66.0,97.87,94.44,33.34,76.63,62.46,64.08,97.87,95.23,32.88,0.7,0.7,0.7,0.7,0.7,0.7,0
2013-10-30,3371.5,46.98,43.33,66.08,82.39,89.63,33.41,64.2,51.92,64.03,89.86,94.92,33.47,77.57,63.54,62.77,89.86,94.1,32.97,0.7,0.7,0.7,0.1,0.1,0.1,0
2013-10-31,3374.75,45.55,43.78,66.56,83.54,87.59,33.4,64.61,53.25,64.27,90.98,93.62,33.46,78.42,64.61,62.94,90.98,93.37,32.98,0.7,0.7,0.7,0.1,0.1,0.1,0
2013-11-01,3368.25,43.4,43.7,64.58,77.61,81.18,33.22,64.5,54.44,63.38,88.75,92.78,33.37,78.91,65.63,62.35,88.75,92.99,32.93,0.1,0.7,0.7,0.1,0.1,0.1,0
2013-11-03,3368.0,41.19,43.2,64.5,63.54,74.9,31.05,64.2,55.46,63.35,88.66,91.49,32.28,79.25,66.6,62.33,88.66,93.11,32.21,0.1,0.7,0.7,0.1,0.1,0.1,0
2013-11-04,3378.25,39.82,42.52,66.33,71.29,70.81,30.31,64.17,56.38,64.19,92.18,91.38,31.86,79.75,67.54,62.9,92.18,92.37,31.94,0.1,0.7,0.7,0.7,0.7,0.1,0
2013-11-05,3378.75,38.32,41.68,66.42,71.92,68.92,30.61,63.98,57.18,64.23,92.35,90.46,31.96,80.11,68.44,62.93,92.35,92.21,32.0,0.1,0.7,0.7,0.7,0.7,0.7,1
2013-11-06,3369.5,35.98,40.54,63.03,60.25,67.82,30.51,63.22,57.82,62.83,89.18,90.35,31.86,80.08,69.27,62.04,89.18,91.41,31.93,0.1,0.7,0.7,0.1,0.1,0.1,1
2013-11-07,3322.25,29.96,38.43,49.19,10.0,47.39,33.55,60.36,58.08,56.33,72.94,87.34,33.33,78.57,69.93,57.76,72.94,89.2,32.91,0.1,0.7,0.7,0.4,0.1,0.1,1
2013-11-08,3359.75,27.9,36.32,57.22,54.92,41.72,34.92,59.23,58.21,59.76,85.82,86.86,34.02,78.16,70.52,60.0,85.82,87.86,33.39,0.1,0.7,0.7,0.7,0.1,0.1,1
2013-11-10,3359.0,25.91,34.24,57.02,54.1,39.67,32.93,58.03,58.19,59.66,85.57,86.34,33.06,77.64,71.03,59.94,85.57,87.38,32.76,0.1,0.1,0.7,0.7,0.1,0.1,1
2013-11-11,3354.5,23.69,32.13,55.8,49.18,52.73,31.98,56.59,58.02,59.06,82.45,84.72,32.58,76.94,71.45,59.54,84.02,86.61,32.45,0.1,0.1,0.7,0.4,0.1,0.1,1
2013-11-12,3361.5,22.24,30.15,57.33,56.83,53.37,31.34,55.44,57.75,59.71,81.39,82.89,32.24,76.38,71.8,59.96,86.43,86.35,32.22,0.1,0.1,0.7,0.7,0.1,0.7,1
2013-11-13,3398.0,23.76,28.87,64.29,92.91,66.31,33.91,55.8,57.54,62.9,96.76,84.16,33.49,76.81,72.16,62.08,97.71,87.36,33.06,0.1,0.1,0.7,0.7,0.7,0.7,1
2013-11-14,3409.25,25.58,28.22,66.12,94.33,81.36,33.56,56.43,57.43,63.82,97.18,88.2,33.33,77.43,72.54,62.71,98.03,88.01,32.96,0.1,0.1,0.7,0.7,0.7,0.7,1
2013-11-15,3415.75,27.24,28.02,67.17,95.51,94.25,32.3,57.09,57.39,64.34,97.33,90.11,32.71,78.07,72.93,63.07,98.39,88.68,32.56,0.1,0.1,0.7,0.7,0.7,0.7,1
2013-11-17,3417.0,28.32,28.08,67.38,96.63,95.49,30.32,57.55,57.41,64.45,97.91,92.17,31.71,78.6,73.34,63.14,98.79,89.75,31.89,0.7,0.7,0.7,0.7,0.7,0.7,1
2013-11-18,3385.25,26.32,27.73,57.38,65.58,85.91,31.4,56.45,57.31,59.88,76.65,91.2,32.2,78.07,73.68,60.17,87.38,91.35,32.21,0.1,0.1,0.7,0.1,0.1,0.1,1
2013-11-19,3380.75,24.09,27.0,56.11,61.69,74.63,31.3,55.11,57.08,59.26,61.69,87.92,32.12,77.34,73.94,59.76,85.95,91.36,32.16,0.1,0.1,0.7,0.1,0.1,0.1,1
2013-11-20,3367.75,21.03,25.8,52.5,50.43,59.24,31.94,53.21,56.67,57.49,50.43,80.2,32.41,76.19,74.1,58.59,81.83,90.95,32.35,0.1,0.1,0.7,0.1,0.1,0.1,1
2013-11-21,3404.0,21.28,24.9,60.2,81.82,64.65,32.93,52.9,56.27,60.88,81.82,77.64,32.89,76.06,74.24,60.79,93.33,91.98,32.67,0.1,0.1,0.7,0.7,0.7,0.7,1
2013-11-22,3419.75,22.5,24.42,63.01,95.45,75.9,32.2,53.13,55.94,62.23,95.45,77.33,32.52,76.3,74.39,61.7,98.33,93.31,32.43,0.1,0.1,0.7,0.7,0.7,0.7,1
2013-11-24,3430.25,24.03,24.34,64.79,96.79,91.36,30.95,53.61,55.7,63.12,96.79,77.14,31.89,76.71,74.55,62.29,98.77,93.42,32.01,0.1,0.1,0.7,0.7,0.7,0.7,1
2013-11-25,3427.75,24.76,24.42,64.0,90.93,94.39,29.92,53.78,55.49,62.75,92.93,79.85,31.34,76.92,74.72,62.06,97.25,93.34,31.64,0.7,0.1,0.7,0.1,0.7,0.7,1
2013-11-26,3446.0,26.5,24.84,67.15,92.14,93.29,30.16,54.53,55.39,64.31,93.65,85.18,31.41,77.52,74.92,63.1,97.32,93.22,31.68,0.7,0.1,0.7,0.1,0.7,0.7,1
2013-11-27,3471.5,29.6,25.79,70.97,99.08,94.05,29.97,56.11,55.47,66.34,99.23,93.31,31.27,78.71,75.19,64.49,99.63,93.31,31.58,0.7,0.7,0.7,0.7,0.7,0.7,1
2013-11-28,3480.75,32.43,27.12,72.24,98.28,96.5,28.7,57.73,55.71,67.05,98.56,96.1,30.59,79.96,75.53,64.98,99.15,94.62,31.12,0.7,0.7,0.7,0.7,0.7,0.7,1
2013-11-29,3492.5,35.21,28.74,73.8,97.64,98.34,27.78,59.49,56.1,67.93,98.26,96.57,30.06,81.35,75.95,65.6,98.91,96.06,30.76,0.7,0.7,0.7,0.1,0.7,0.7,1
2013-12-01,3491.5,36.91,30.37,73.42,96.92,97.62,26.03,60.82,56.6,67.77,97.72,96.72,29.1,82.48,76.41,65.5,98.55,97.92,30.1,0.7,0.7,0.7,0.1,0.7,0.7,1
2013-12-02,3484.75,37.28,31.75,70.78,88.97,94.51,25.9,61.54,57.12,66.67,91.75,96.53,28.93,83.22,76.9,64.81,94.1,98.0,29.96,0.7,0.7,0.7,0.1,0.1,0.1,0
2013-12-03,3476.25,36.47,32.7,67.5,83.01,89.63,25.66,61.62,57.59,65.28,87.3,95.47,28.7,83.54,77.37,63.94,90.64,97.15,29.78,0.7,0.7,0.7,0.1,0.1,0.1,0
2013-12-05,3476.75,34.49,33.55,66.74,83.36,84.12,26.47,61.41,58.38,65.01,87.57,92.02,28.91,83.91,78.27,63.79,87.57,95.3,29.88,0.7,0.7,0.7,0.1,0.1,0.1,0
2013-12-06,3504.5,35.32,33.9,71.83,96.19,88.51,26.97,62.14,58.78,67.43,97.14,91.83,29.07,84.65,78.73,65.4,97.14,95.28,29.96,0.7,0.7,0.7,0.7,0.7,0.7,0
2013-12-08,3511.5,36.13,34.35,72.95,98.68,92.74,25.65,62.9,59.21,68.01,99.26,92.09,28.34,85.41,79.2,65.8,99.26,95.24,29.45,0.7,0.7,0.7,0.7,0.7,0.7,0
2013-12-09,3519.0,36.95,34.87,74.14,95.22,96.69,25.1,63.7,59.68,68.63,97.67,93.08,27.97,86.22,79.7,66.22,97.67,95.08,29.18,0.7,0.7,0.7,0.1,0.7,0.7,0
2013-12-10,3517.0,37.01,35.3,73.22,93.25,95.72,24.49,64.13,60.15,68.27,96.74,94.65,27.56,86.78,80.21,66.0,96.74,94.84,28.88,0.7,0.7,0.7,0.1,0.7,0.7,0
2013-12-11,3473.0,33.12,34.86,56.51,50.0,79.49,26.87,62.46,60.4,60.86,72.65,91.84,28.64,85.92,80.62,61.36,76.22,92.35,29.57,0.1,0.7,0.7,0.4,0.1,0.1,1
2013-12-12,3460.0,28.67,33.62,52.69,18.73,53.99,26.61,60.24,60.38,58.91,65.68,88.19,28.45,84.64,80.91,60.09,70.16,89.7,29.42,0.1,0.1,0.7,0.4,0.1,0.1,1
2013-12-13,3456.25,24.55,31.81,51.61,9.67,26.13,26.76,57.94,60.12,58.34,63.67,82.61,28.46,83.23,81.07,59.72,68.41,87.23,29.4,0.1,0.1,0.7,0.4,0.1,0.1,1
2013-12-15,3455.5,20.98,29.64,51.38,8.67,12.35,25.15,55.7,59.66,58.23,63.27,76.61,27.59,81.8,81.12,59.64,68.07,84.58,28.8,0.1,0.1,0.7,0.4,0.1,0.1,1
2013-12-16,3466.75,18.85,27.48,54.61,39.74,19.36,27.75,54.01,59.06,59.47,65.56,71.26,28.8,80.69,81.09,60.4,73.31,83.0,29.58,0.1,0.1,0.1,1.0,0.1,0.1,1
2013-12-17,3461.5,16.54,25.29,52.85,34.21,27.54,27.37,52.14,58.33,58.63,62.41,65.54,28.58,79.4,80.97,59.86,70.86,80.08,29.41,0.1,0.1,0.1,1.0,0.1,0.1,1
2013-12-18,3510.0,18.41,23.92,64.33,86.98,53.64,32.24,52.38,57.71,63.58,91.58,68.7,30.97,79.5,80.87,62.99,93.47,79.44,30.98,0.1,0.1,0.1,0.7,0.7,0.7,1
2013-12-19,3492.75,18.29,22.79,58.84,70.93,64.04,32.26,51.7,57.07,60.89,81.2,71.28,31.02,78.99,80.73,61.25,85.43,78.08,31.02,0.1,0.1,0.1,0.7,0.7,0.7,1
2013-12-20,3532.25,21.14,22.46,66.0,96.46,84.79,33.08,52.61,56.6,64.46,97.62,76.94,31.48,79.54,80.65,63.61,98.13,78.23,31.32,0.1,0.1,0.1,0.7,0.7,0.7,1
2013-12-22,3545.5,24.19,22.81,68.01,99.42,88.94,31.72,53.82,56.31,65.56,99.6,83.0,30.85,80.33,80.62,64.36,99.68,80.84,30.91,0.7,0.1,0.1,0.7,0.7,0.7,1
2013-12-23,3563.75,27.76,23.8,70.59,98.17,98.02,30.97,55.49,56.22,67.01,98.67,88.51,30.51,81.46,80.68,65.36,98.93,84.03,30.68,0.7,0.1,0.7,0.7,0.7,0.7,0
2013-12-24,3571.25,30.84,25.21,71.6,99.84,99.14,29.54,57.13,56.32,67.59,99.85,94.76,29.81,82.61,80.82,65.76,99.9,87.53,30.21,0.7,0.7,0.7,0.7,0.7,0.7,0
2013-12-26,3580.0,33.6,26.89,72.78,98.49,98.83,28.5,58.77,56.58,68.27,98.49,95.91,29.28,83.82,81.04,66.23,99.08,90.98,29.85,0.7,0.7,0.7,0.1,0.7,0.7,0
2013-12-27,3571.75,34.72,28.45,69.84,91.19,96.51,27.93,59.7,56.91,66.9,91.19,97.57,28.97,84.57,81.29,65.36,94.59,93.34,29.63,0.7,0.7,0.7,0.1,0.1,0.7,0
2013-12-29,3569.75,35.04,29.77,69.11,90.01,93.23,26.26,60.26,57.26,66.57,90.01,96.3,28.1,85.09,81.56,65.15,93.18,95.82,29.03,0.7,0.7,0.7,0.1,0.1,0.1,0
2013-12-30,3566.25,34.61,30.74,67.77,87.96,89.72,25.65,60.43,57.59,65.97,87.96,94.36,27.73,85.36,81.83,64.77,91.78,95.63,28.76,0.7,0.7,0.7,0.1,0.1,0.1,0
2013-12-31,3593.25,36.04,31.8,72.23,99.72,92.56,25.93,61.53,58.01,68.25,99.72,94.54,27.79,86.26,82.15,66.31,99.8,97.23,28.78,0.7,0.7,0.7,0.7,0.7,0.7,0
2014-01-02,3560.0,34.09,32.26,61.04,80.96,89.55,27.27,60.92,58.32,62.86,80.96,91.39,28.4,86.02,82.42,62.85,86.83,95.98,29.16,0.7,0.7,0.7,0.1,0.1,0.1,1
2014-01-03,3531.25,29.89,31.78,53.35,64.74,81.81,27.82,58.98,58.38,58.7,64.74,85.76,28.63,84.86,82.6,60.06,73.52,93.07,29.3,0.1,0.7,0.7,0.1,0.1,0.1,1
2014-01-05,3537.25,26.73,30.77,54.63,68.12,71.27,26.51,57.33,58.27,59.28,68.12,81.92,27.95,83.84,82.69,60.44,76.06,90.53,28.83,0.1,0.1,0.7,0.1,0.1,0.1,0
2014-01-06,3518.0,22.41,29.1,49.89,34.84,55.9,27.03,54.89,57.92,56.62,57.26,76.46,28.16,82.23,82.65,58.63,67.9,86.97,28.94,0.1,0.1,0.1,0.4,0.1,0.1,1
2014-01-07,3546.5,21.05,27.49,55.98,53.22,52.06,27.85,53.77,57.48,59.42,73.34,74.02,28.53,81.46,82.57,60.43,79.98,84.85,29.17,0.1,0.1,0.1,0.7,0.1,0.1,1
2014-01-08,3559.5,20.78,26.15,58.47,61.3,49.79,27.7,53.16,57.03,60.62,80.68,70.85,28.43,81.0,82.46,61.21,85.49,83.84,29.09,0.1,0.1,0.1,0.7,0.7,0.7,1
2014-01-09,3549.5,19.54,24.83,55.86,50.0,54.84,28.67,52.04,56.5,59.22,75.04,69.86,28.88,80.19,82.29,60.27,81.25,82.51,29.38,0.1,0.1,0.1,0.4,0.7,0.1,1
2014-01-10,3560.5,19.21,23.7,58.07,62.43,57.91,29.64,51.36,55.96,60.27,81.24,72.61,29.36,79.64,82.11,60.95,85.81,81.85,29.69,0.1,0.1,0.1,0.7,0.7,0.7,1
2014-01-12,3560.25,18.72,22.71,58.0,62.15,58.19,27.75,50.59,55.4,60.23,81.1,74.78,28.43,79.02,81.89,60.92,82.78,79.96,29.06,0.1,0.1,0.1,0.7,0.7,0.7,1
2014-01-13,3510.0,14.12,20.99,45.82,17.89,47.49,31.07,47.63,54.58,53.5,52.75,74.02,30.07,76.9,81.53,56.32,52.75,76.17,30.13,0.1,0.1,0.1,0.4,0.1,0.1,1
2014-01-14,3575.0,15.53,19.9,58.08,81.62,53.89,34.09,47.61,53.84,59.56,89.42,76.7,31.61,76.71,81.18,60.29,89.42,77.94,31.16,0.1,0.1,0.1,0.7,0.7,0.7,1
2014-01-15,3600.0,18.46,19.61,61.68,91.93,63.81,34.46,48.51,53.28,61.56,95.08,79.1,31.88,77.14,80.9,61.67,95.08,80.05,31.35,0.1,0.1,0.1,0.7,0.7,0.7,1
2014-01-16,3592.75,19.96,19.68,60.07,85.77,86.44,33.16,48.85,52.82,60.66,91.32,81.82,31.32,77.23,80.63,61.04,91.32,82.65,30.99,0.7,0.1,0.1,0.1,0.7,0.7,0
2014-01-17,3584.25,20.23,19.79,58.15,78.56,85.42,33.25,48.65,52.38,59.6,86.92,82.76,31.44,76.96,80.37,60.3,86.92,83.42,31.08,0.7,0.1,0.1,0.1,0.7,0.7,0
2014-01-19,3585.75,20.34,19.9,58.41,79.83,81.39,31.23,48.39,51.96,59.73,87.69,83.86,30.49,76.65,80.11,60.39,87.69,83.67,30.45,0.7,0.1,0.1,0.1,0.7,0.7,0
2014-01-20,3587.25,20.31,19.98,58.67,81.1,79.83,29.81,48.07,51.55,59.86,88.47,89.82,29.8,76.3,79.83,60.48,88.47,84.47,30.0,0.7,0.1,0.1,0.7,0.1,0.7,0
